date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:10	97148/97148	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2018:50:37%20GMT	https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/index.html	(from )
00:00:10	111/111	---M-Z	200	added ('OK')	text/plain	date:Wed,%2027%20Sep%202023%2019:18:44%20GMT	https://egehospital.az/robots.txt		(from )
00:00:11	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2027%20Sep%202023%2020:00:12%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/www.googletagmanager.com/gtm.05445.delayed	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
00:00:12	95021/95021	---MCZ	200	added ('OK')	text/css	etag:W/%226468d2ed-1732d%22	https://egehospital.az/wp-includes/css/dist/block-library/style.min.css?ver=6.1.3	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/wp-includes/css/dist/block-library/style.min6fb3.css	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
00:00:12	217/217	---M-Z	200	added ('OK')	text/css	etag:%22d9-5f859a180ba01-gzip%22	https://egehospital.az/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/wp-includes/css/classic-themes.min68b3.css	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
00:00:13	2859/2859	---MCZ	200	added ('OK')	text/css	etag:W/%22647753be-b2b%22	https://egehospital.az/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.7	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/wp-content/plugins/contact-form-7/includes/css/stylesf2b4.css	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
00:00:13	11000/11000	---MCZ	200	added ('OK')	text/css	etag:W/%22643dfa2c-2af8%22	https://egehospital.az/wp-content/plugins/mp-timetable/media/css/style.css?ver=2.4.9	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/wp-content/plugins/mp-timetable/media/css/style8dff.css	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
00:00:13	103840/103840	---MCZ	200	added ('OK')	text/css	etag:W/%22650a5298-195a0%22	https://egehospital.az/wp-content/plugins/wp-user-avatar/assets/css/frontend.min.css?ver=4.13.3	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/wp-content/plugins/wp-user-avatar/assets/css/frontend.minf11d.css	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
00:00:13	13825/13825	---MCZ	200	added ('OK')	text/css	etag:W/%22650a5298-3601%22	https://egehospital.az/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.css?ver=4.13.3	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.minf11d.css	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
00:00:14	14965/14965	---MCZ	200	added ('OK')	text/css	etag:W/%22650a5298-3a75%22	https://egehospital.az/wp-content/plugins/wp-user-avatar/assets/select2/select2.min.css?ver=6.1.3	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/wp-content/plugins/wp-user-avatar/assets/select2/select2.min6fb3.css	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
00:00:14	691943/691943	---MCZ	200	added ('OK')	text/css	etag:W/%22642975c3-a8ee7%22	https://egehospital.az/wp-content/themes/medicare/style.css?ver=6.1.3	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/wp-content/themes/medicare/style6fb3.css	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
00:00:14	821/821	---M-Z	200	added ('OK')	text/css	etag:%22335-5f859a12b8576-gzip%22	https://egehospital.az/wp-content/themes/medicare-child/style.css?ver=1.0.0	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/wp-content/themes/medicare-child/style8a54.css	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
00:00:14	3580/3580	---MCZ	200	added ('OK')	text/css	etag:W/%22642975c3-dfc%22	https://egehospital.az/wp-content/themes/medicare/print.css?ver=6.1.3	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/wp-content/themes/medicare/print6fb3.css	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
00:00:14	7899/7899	---MCZ	200	added ('OK')	text/css	etag:W/%22642975c3-1edb%22	https://egehospital.az/wp-content/themes/medicare/magnific-popup.css?ver=6.1.3	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/wp-content/themes/medicare/magnific-popup6fb3.css	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
00:00:15	31286/31286	---MCZ	200	added ('OK')	text/css	etag:W/%22647753be-7a36%22	https://egehospital.az/wp-content/plugins/contact-form-7/includes/js/jquery-ui/themes/smoothness/jquery-ui.min.css?ver=1.12.1	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/wp-content/plugins/contact-form-7/includes/js/jquery-ui/themes/smoothness/jquery-ui.min35d0.css	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
00:00:15	89684/89684	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22642975c9-15e54%22	https://egehospital.az/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/wp-includes/js/jquery/jquery.mina7a0.js	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
00:00:15	11224/11224	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22642975c9-2bd8%22	https://egehospital.az/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/sahin/Desktop/AboutDoctor/AboutDoctor/egehospital.az/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://egehospital.az/ege-hospital-hekimleri/uzman-dr-anar-eliyev/)
