date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:27	732/732	---M-Z	200	added ('OK')	text/html	etag:%22eeef651e08d61:0%22	https://ankarasehir.saglik.gov.tr/robots.txt		(from )
21:33:28	178018/178018	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Aug%202023%2017:22:07%20GMT	https://ankarasehir.saglik.gov.tr/TR-326237/acil-tip-klinigi.html	C:/Users/sahin/Desktop/hosital-doctors/Hospital-DoctorsCategorty/ankarasehir.saglik.gov.tr/TR-326237/acil-tip-klinigi.html	(from )
21:33:32	88362/88362	---M-Z	200	added ('OK')	application/javascript	etag:%228040206b6026d61:0%22	https://dosyahastane.saglik.gov.tr/WebFiles/sablonlar/js/jquery.js	C:/Users/sahin/Desktop/hosital-doctors/Hospital-DoctorsCategorty/dosyahastane.saglik.gov.tr/WebFiles/sablonlar/js/jquery.js	(from https://ankarasehir.saglik.gov.tr/TR-326237/acil-tip-klinigi.html)
21:33:32	231683/231683	---M-Z	200	added ('OK')	application/javascript	etag:%220117281b0aad51:0%22	https://dosyahastane.saglik.gov.tr/WebFiles/sablonlar/js/bootsrap.js	C:/Users/sahin/Desktop/hosital-doctors/Hospital-DoctorsCategorty/dosyahastane.saglik.gov.tr/WebFiles/sablonlar/js/bootsrap.js	(from https://ankarasehir.saglik.gov.tr/TR-326237/acil-tip-klinigi.html)
21:33:32	42420/42420	---M--	200	added ('OK')	image/png	etag:%22fd1af399d91d71:0%22	https://dosyahastane.saglik.gov.tr/WebFiles/logolar/logo-tr.png	C:/Users/sahin/Desktop/hosital-doctors/Hospital-DoctorsCategorty/dosyahastane.saglik.gov.tr/WebFiles/logolar/logo-tr.png	(from https://ankarasehir.saglik.gov.tr/TR-326237/acil-tip-klinigi.html)
21:33:33	10820/10820	---M-Z	200	added ('OK')	text/css	etag:%2280ece1d5f8efd71:0%22	https://dosyahastane.saglik.gov.tr/WebFiles/sablonlar/css/plugin.css	C:/Users/sahin/Desktop/hosital-doctors/Hospital-DoctorsCategorty/dosyahastane.saglik.gov.tr/WebFiles/sablonlar/css/plugin.css	(from https://ankarasehir.saglik.gov.tr/TR-326237/acil-tip-klinigi.html)
21:33:35	23187/23187	---M-Z	200	added ('OK')	text/css	etag:%220909b7259bbd71:0%22	https://ankarasehir.saglik.gov.tr/Fonts/font-awesome.css	C:/Users/sahin/Desktop/hosital-doctors/Hospital-DoctorsCategorty/ankarasehir.saglik.gov.tr/Fonts/font-awesome.css	(from https://ankarasehir.saglik.gov.tr/TR-326237/acil-tip-klinigi.html)
21:33:37	2116/2116	---M-Z	200	added ('OK')	text/css	etag:%228dbffa3621d3d81:0%22	https://dosyahastane.saglik.gov.tr/WebFiles/sablonlar/css/color/default.css	C:/Users/sahin/Desktop/hosital-doctors/Hospital-DoctorsCategorty/dosyahastane.saglik.gov.tr/WebFiles/sablonlar/css/color/default.css	(from https://ankarasehir.saglik.gov.tr/TR-326237/acil-tip-klinigi.html)
21:33:39	6703/6703	---M--	200	added ('OK')	image/png	etag:%22CB7210354EA29378D68DB6A5D1A6557E5D45D142%22	https://dosyahastane.saglik.gov.tr/Resim/306868/1/acilmansetjpg.png	C:/Users/sahin/Desktop/hosital-doctors/Hospital-DoctorsCategorty/dosyahastane.saglik.gov.tr/Resim/306868/1/acilmansetjpg.png	(from https://ankarasehir.saglik.gov.tr/TR-326237/acil-tip-klinigi.html)
21:33:40	6756/6756	---M--	200	added ('OK')	image/png	etag:%22FA8D32109F06C3E530582771BB480B8A0AB5CDFC%22	https://dosyahastane.saglik.gov.tr/Resim/306876/1/acilgaleri1jpg.png	C:/Users/sahin/Desktop/hosital-doctors/Hospital-DoctorsCategorty/dosyahastane.saglik.gov.tr/Resim/306876/1/acilgaleri1jpg.png	(from https://ankarasehir.saglik.gov.tr/TR-326237/acil-tip-klinigi.html)
